Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
34,6,Clemson,ACC,21,11,+16.94,117.4,27,100.5,67,66.1,260,-.022,245,+10.08,41,112.2,28,102.1,68,+5.20,65
35,N/A,Villanova,BE,18,15,+16.93,111.6,84,94.7,13,63.2,350,-.087,347,+11.32,20,112.7,17,101.3,37,+6.05,48
36,10,Nevada,MWC,26,7,+16.81,115.5,40,98.7,36,66.6,233,+.059,53,+5.69,89,109.7,87,104.1,95,-1.10,231
37,N/A,Cincinnati,B12,20,14,+16.72,112.3,77,95.5,17,67.3,188,-.079,336,+9.42,57,110.7,65,101.3,36,-4.01,300
38,10,Colorado St.,MWC,24,10,+16.60,115.4,42,98.8,38,65.8,270,-.025,253,+9.15,65,112.1,31,103.0,85,+5.82,52
39,10,Boise St.,MWC,22,10,+16.38,114.0,52,97.6,29,66.8,221,+.010,158,+9.31,59,111.0,57,101.7,52,+7.76,26
40,N/A,Pittsburgh,ACC,22,11,+16.36,115.9,35,99.5,50,65.5,292,+.005,166,+7.76,80,110.6,69,102.9,81,-6.29,340
41,8,Florida Atlantic,Amer,25,8,+16.24,119.0,16,102.7,109,68.1,138,-.012,217,+5.28,93,109.4,92,104.1,98,+6.60,40
42,7,Washington St.,P12,24,9,+16.22,113.4,64,97.2,27,64.8,316,+.021,130,+6.98,84,109.9,86,103.0,84,-5.10,317
43,N/A,Oklahoma,B12,20,12,+16.12,114.3,48,98.2,34,67.0,213,-.024,250,+10.44,36,110.7,67,100.2,9,-5.35,323
44,9,Texas A&M,SEC,20,14,+16.11,116.0,31,99.9,57,65.8,269,-.025,254,+11.46,19,112.7,15,101.2,33,+5.29,62
45,N/A,Indiana St.,MVC,28,6,+16.10,118.3,22,102.2,99,70.5,40,+.033,103,+1.78,129,107.2,137,105.4,140,-4.22,304
46,9,Northwestern,B10,21,11,+15.91,116.7,30,100.8,72,63.7,342,+.008,164,+9.71,49,111.8,37,102.0,65,-7.39,355
47,N/A,Ohio St.,B10,20,13,+15.59,115.7,37,100.1,60,65.4,294,-.028,262,+10.04,43,111.7,39,101.7,48,-2.00,256
48,8,Utah St.,MWC,27,6,+15.11,115.6,39,100.5,68,68.5,107,+.100,14,+6.02,87,109.4,91,103.3,88,+1.84,141
49,6,South Carolina,SEC,26,7,+15.06,114.7,46,99.7,54,62.9,354,+.152,2,+7.59,81,110.4,78,102.8,79,-6.00,337
50,N/A,Utah,P12,19,14,+14.81,113.9,54,99.1,41,69.6,68,-.035,278,+10.25,40,111.5,45,101.3,35,+5.70,55
51,10,Drake,MVC,28,6,+14.71,115.6,38,100.9,75,67.8,150,+.065,43,+2.60,120,107.8,116,105.2,132,-1.46,243
52,N/A,Iowa,B10,18,14,+14.02,119.2,15,105.2,153,71.3,22,-.020,240,+11.64,16,112.8,14,101.1,27,-1.26,238
53,12,Grand Canyon,WAC,29,4,+13.91,113.5,63,99.6,51,68.1,134,+.022,120,-1.42,209,104.1,277,105.6,148,-1.51,246
54,N/A,Providence,BE,21,13,+13.60,109.1,119,95.5,18,67.7,158,+.021,126,+9.93,44,112.2,27,102.3,72,-1.87,254
55,11,Oregon,P12,23,11,+13.43,114.0,50,100.6,70,67.2,197,+.049,68,+9.10,67,110.9,62,101.8,57,-0.15,204
56,N/A,Xavier,BE,16,17,+13.43,112.7,73,99.3,44,71.0,34,-.048,296,+12.61,9,113.2,8,100.6,13,+4.93,70
57,N/A,Virginia Tech,ACC,18,14,+13.23,115.9,32,102.7,106,67.4,172,-.035,275,+9.26,61,110.4,76,101.2,29,+2.90,113
58,11,N.C. State,ACC,22,14,+13.06,114.4,47,101.3,89,68.1,137,-.000,183,+9.33,58,110.9,63,101.5,44,-4.92,315
59,12,James Madison,SB,31,3,+12.90,113.9,56,101.0,79,69.5,71,+.027,110,-4.44,293,103.4,293,107.8,269,-6.59,342
60,12,McNeese St.,Slnd,30,3,+12.86,114.0,51,101.2,84,65.6,282,+.016,144,-6.72,336,102.3,316,109.0,337,+4.54,76
61,N/A,UCF,B12,17,15,+12.84,107.7,149,94.8,15,68.3,124,-.062,321,+9.72,48,111.2,54,101.5,41,-5.84,334
62,N/A,Seton Hall,BE,20,12,+12.68,112.3,76,99.6,52,66.0,263,+.068,36,+10.04,42,111.8,38,101.7,53,-1.33,242
63,N/A,Washington,P12,17,15,+12.67,115.1,43,102.4,101,71.1,30,-.081,339,+9.30,60,110.9,60,101.6,46,+5.87,51
64,N/A,Bradley,MVC,22,11,+12.44,112.4,74,100.0,58,66.2,254,-.044,289,+3.71,102,107.8,114,104.1,97,+2.89,115
65,N/A,Maryland,B10,16,17,+12.42,107.1,160,94.7,14,65.4,298,-.093,350,+9.82,47,111.3,47,101.5,42,-4.77,312
66,N/A,Princeton,Ivy,24,4,+12.35,117.1,28,104.7,144,65.0,311,+.038,90,+0.55,149,106.3,172,105.7,159,+3.33,95
67,N/A,Butler,BE,18,14,+12.25,113.0,71,100.8,73,68.4,121,-.012,218,+11.62,17,112.4,20,100.8,21,+2.35,124
68,N/A,Kansas St.,B12,19,14,+12.08,108.4,138,96.4,22,67.3,187,+.037,92,+11.68,15,111.7,40,100.0,5,+0.20,197
69,10,Virginia,ACC,23,10,+12.08,105.4,194,93.3,7,59.9,362,+.109,12,+8.03,77,111.2,53,103.2,86,-1.19,236
70,N/A,San Francisco,WCC,23,10,+11.45,110.4,97,98.9,39,67.2,193,-.039,285,-0.70,189,106.4,167,107.1,223,-2.67,269
71,N/A,SMU,Amer,20,12,+11.23,111.2,87,100.0,59,67.4,170,-.083,341,+2.97,109,108.2,106,105.2,135,+0.45,185
72,N/A,UNLV,MWC,19,12,+10.89,112.3,75,101.4,92,64.9,312,+.000,179,+7.48,82,110.4,75,103.0,83,+3.77,91
73,N/A,North Texas,Amer,18,14,+10.89,109.7,107,98.8,37,61.4,360,-.116,360,+5.23,94,109.6,89,104.3,106,+4.40,79
74,N/A,Memphis,Amer,22,10,+10.54,113.1,70,102.5,105,71.5,19,+.036,97,+5.06,95,109.2,93,104.2,102,+5.15,67
75,N/A,Boston College,ACC,19,15,+10.49,113.2,67,102.7,107,67.1,203,-.021,242,+7.99,78,110.0,83,102.0,66,-0.50,213
76,N/A,UC Irvine,BW,24,9,+10.35,109.4,110,99.1,40,68.4,119,-.045,293,-0.29,176,105.9,190,106.2,171,+5.98,49
77,N/A,Penn St.,B10,16,17,+10.34,111.4,86,101.0,81,69.7,61,-.059,314,+9.47,55,111.1,56,101.7,50,-3.93,297
78,N/A,Minnesota,B10,18,14,+10.16,114.0,49,103.9,128,66.5,240,-.026,255,+7.38,83,110.3,81,102.9,82,-12.72,362
79,N/A,Appalachian St.,SB,27,6,+10.14,108.3,141,98.1,33,66.7,229,+.022,124,-1.68,213,106.2,178,107.9,273,+0.52,181
80,N/A,VCU,A10,22,13,+10.02,109.3,115,99.2,43,65.2,302,-.032,269,+4.13,100,108.2,107,104.0,94,+0.25,195
81,13,Samford,SC,29,5,+9.79,113.1,69,103.3,116,72.5,14,+.129,9,-2.73,247,104.3,268,107.0,216,-5.57,330
82,N/A,Richmond,A10,23,9,+9.57,107.5,153,97.9,32,66.8,219,+.040,87,+2.88,110,107.4,124,104.6,111,-2.90,275
83,N/A,Florida St.,ACC,17,16,+9.49,110.5,94,101.0,80,71.0,31,+.013,152,+10.45,35,112.3,23,101.9,61,+2.92,110
84,13,Yale,Ivy,22,9,+9.47,110.8,89,101.4,90,64.5,327,+.001,177,+2.09,127,108.3,102,106.2,176,+5.38,61
85,N/A,USC,P12,15,18,+9.42,110.3,99,100.9,78,68.0,139,-.042,287,+10.74,27,111.6,44,100.8,20,+6.29,44
86,11,Duquesne,A10,24,11,+9.37,106.9,166,97.5,28,66.3,251,+.049,66,+4.86,97,109.1,94,104.2,103,+1.85,140
87,N/A,Mississippi,SEC,20,12,+9.31,114.0,53,104.6,142,66.8,218,+.095,16,+8.84,72,110.9,61,102.0,64,-1.53,247
88,N/A,Syracuse,ACC,20,12,+9.28,111.0,88,101.7,95,70.6,38,+.132,7,+10.33,38,112.0,33,101.7,49,+3.31,96
89,N/A,South Florida,Amer,24,7,+9.13,110.4,96,101.3,85,68.0,143,+.056,56,+0.37,153,106.4,166,106.0,164,-4.14,302
90,N/A,Georgia,SEC,17,16,+9.05,109.6,108,100.5,69,68.3,126,+.000,181,+9.55,54,112.3,25,102.7,77,+0.26,194
91,N/A,LSU,SEC,17,15,+8.72,110.1,102,101.4,91,69.6,67,-.009,210,+9.01,69,111.4,46,102.4,73,-1.27,239
92,N/A,Loyola Chicago,A10,23,9,+8.69,105.6,189,96.9,25,68.6,106,+.060,51,+2.62,118,107.4,127,104.8,119,-3.44,287
93,N/A,Indiana,B10,19,14,+8.68,109.7,106,101.0,82,68.4,116,+.138,5,+11.86,13,113.0,9,101.2,31,-0.66,218
94,N/A,Massachusetts,A10,20,11,+8.58,111.8,81,103.2,115,68.1,135,-.063,322,+0.72,144,106.4,165,105.7,156,-5.20,320
95,N/A,Louisiana Tech,CUSA,22,10,+8.32,108.7,132,100.4,65,65.7,278,-.072,330,-0.12,168,104.9,246,105.0,125,+3.96,87
96,N/A,George Mason,A10,20,12,+8.18,109.5,109,101.3,88,63.6,344,-.033,271,+2.47,122,107.8,115,105.3,138,-2.97,278
97,N/A,UCLA,P12,16,17,+7.71,107.2,156,99.5,49,63.0,352,-.028,259,+8.89,71,110.4,77,101.5,43,+0.76,170
98,13,Charleston,CAA,27,7,+7.61,113.7,58,106.1,176,69.8,59,+.050,64,-2.14,225,105.4,214,107.6,255,-0.14,203
99,N/A,Saint Joseph's,A10,21,13,+7.52,110.8,90,103.3,117,68.3,122,-.031,267,+2.25,124,107.1,138,104.9,123,-5.95,336
100,N/A,Rutgers,B10,15,17,+7.49,99.2,298,91.8,5,67.8,151,-.000,186,+11.52,18,112.8,13,101.2,34,-2.83,273
101,N/A,St. Bonaventure,A10,20,13,+7.45,111.6,83,104.2,133,65.5,290,-.019,236,+2.65,117,106.7,150,104.1,96,-4.10,301
102,N/A,Miami FL,ACC,15,17,+7.44,110.8,92,103.3,118,68.5,111,-.059,315,+9.20,64,110.9,59,101.7,55,-2.43,265
103,N/A,Cornell,Ivy,22,7,+7.12,113.1,68,106.0,173,71.3,26,+.037,93,+0.03,162,105.8,193,105.8,160,+0.31,191
104,13,Vermont,AE,28,6,+6.98,107.1,159,100.1,62,63.2,349,+.063,48,-2.65,244,104.3,261,107.0,215,+2.53,120
105,N/A,Stanford,P12,14,18,+6.42,110.4,98,103.9,129,69.5,69,-.052,300,+7.96,79,110.0,84,102.1,67,-1.66,251
106,12,UAB,Amer,23,11,+6.28,113.7,59,107.4,202,67.8,153,+.116,11,+4.45,98,108.8,96,104.4,109,+1.94,136
107,N/A,Arkansas,SEC,16,17,+5.81,110.0,103,104.2,136,70.7,36,+.046,72,+9.66,51,112.5,19,102.8,80,+2.08,130
108,N/A,Western Carolina,SC,22,10,+5.68,109.2,116,103.5,122,66.8,225,+.002,174,-0.59,183,106.2,175,106.8,211,+0.19,198
109,N/A,Santa Clara,WCC,20,13,+5.61,109.8,105,104.2,134,69.1,86,+.013,151,+2.61,119,107.7,118,105.1,128,+4.07,84
110,N/A,Northern Iowa,MVC,19,14,+5.54,109.2,117,103.7,125,66.6,235,+.036,99,+4.95,96,108.8,97,103.8,92,+6.28,45
111,14,Morehead St.,OVC,26,8,+5.47,109.0,124,103.5,120,64.2,335,+.044,80,-5.79,319,103.1,297,108.9,334,+7.96,24
112,N/A,High Point,BSth,25,8,+5.40,115.9,34,110.5,262,68.5,109,-.061,319,-4.40,291,104.1,276,108.5,310,-4.33,309
113,N/A,Belmont,MVC,20,13,+5.34,109.4,112,104.0,130,71.2,28,+.056,57,+2.81,111,107.9,110,105.1,131,+1.54,148
114,N/A,Hofstra,CAA,20,13,+5.34,108.5,136,103.2,114,65.6,280,-.038,282,-0.18,171,107.6,120,107.8,264,+5.50,57
115,N/A,Oklahoma St.,B12,12,20,+5.33,109.0,123,103.7,126,67.0,210,-.070,328,+9.70,50,110.6,70,100.9,24,-5.57,329
116,14,Akron,MAC,24,10,+4.94,107.0,162,102.1,97,65.9,268,-.002,191,-1.86,219,105.4,218,107.3,235,+6.45,42
117,N/A,UT Arlington,WAC,20,14,+4.91,109.1,121,104.2,135,71.0,33,+.018,139,+1.53,132,106.1,182,104.6,112,+9.66,16
118,N/A,UNC Wilmington,CAA,21,10,+4.83,113.3,66,108.5,223,65.2,303,+.020,134,-0.27,175,106.4,163,106.7,204,+5.97,50
119,N/A,Charlotte,Amer,19,12,+4.71,108.7,131,104.0,131,62.4,356,+.046,74,+2.80,112,107.8,113,105.0,127,+2.88,116
120,N/A,Seattle,WAC,19,14,+4.54,105.3,198,100.7,71,66.7,230,-.085,344,-0.80,192,104.5,258,105.3,136,-1.15,234
121,N/A,UC San Diego,BW,21,11,+4.53,111.9,80,107.3,200,65.3,300,-.010,214,-1.92,220,104.2,272,106.2,173,-0.74,222
122,N/A,Southern Illinois,MVC,19,13,+4.52,109.3,114,104.8,147,64.4,332,-.018,234,+0.78,142,106.7,153,105.9,161,-6.79,345
123,N/A,California,P12,13,19,+4.49,109.0,126,104.5,141,68.4,118,-.003,193,+8.90,70,110.7,66,101.8,58,+0.86,167
124,N/A,Drexel,CAA,20,12,+4.29,108.3,140,104.0,132,64.4,330,-.035,276,-1.80,216,105.6,205,107.4,243,+0.70,175
125,N/A,Davidson,A10,15,17,+4.27,105.6,190,101.3,86,65.5,285,-.080,338,+4.32,99,108.0,109,103.6,90,+0.94,166
126,N/A,Notre Dame,ACC,13,20,+4.24,102.8,243,98.6,35,64.2,336,-.012,219,+9.26,62,111.2,52,101.9,62,-0.83,227
127,N/A,Michigan,B10,8,24,+3.82,110.5,93,106.7,182,67.4,174,-.083,342,+14.05,2,114.2,3,100.2,7,+7.82,25
128,N/A,Georgia Tech,ACC,14,18,+3.78,108.9,127,105.2,152,67.5,167,+.072,30,+10.73,28,111.3,50,100.6,14,+4.85,71
129,N/A,Arizona St.,P12,14,18,+3.76,103.9,220,100.2,63,69.1,84,+.064,45,+10.48,33,111.6,42,101.1,28,+6.23,46
130,N/A,Troy,SB,20,12,+3.73,107.2,157,103.5,119,69.6,65,-.052,303,-1.67,212,105.3,221,107.0,214,+0.95,165
131,N/A,Arkansas St.,SB,18,16,+3.32,113.6,61,110.3,259,67.8,152,-.024,251,+0.54,151,106.6,155,106.1,169,+2.28,126
132,15,Western Kentucky,CUSA,22,11,+3.06,105.6,191,102.5,103,75.1,1,-.051,299,-2.53,243,103.7,289,106.2,174,-2.76,270
133,N/A,Youngstown St.,Horz,22,10,+2.99,108.2,143,105.2,151,68.8,95,-.022,246,-4.08,286,105.4,217,109.5,354,+1.30,154
134,15,South Dakota St.,Sum,22,12,+2.99,108.7,134,105.7,163,67.9,148,-.018,233,-2.40,235,105.6,201,108.0,281,+3.11,105
135,N/A,Tarleton St.,WAC,23,9,+2.84,108.9,128,106.1,175,66.5,246,+.156,1,+0.73,143,105.1,237,104.4,108,+5.44,58
136,N/A,Tulane,Amer,14,17,+2.82,110.8,91,108.0,213,72.6,12,-.086,345,+3.59,104,108.0,108,104.4,110,-3.22,283
137,14,Oakland,Horz,23,11,+2.82,108.6,135,105.8,165,66.7,232,+.082,21,-1.08,198,107.1,139,108.2,289,+9.90,15
138,N/A,Liberty,CUSA,18,14,+2.71,109.1,120,106.4,179,64.5,328,-.052,304,+0.16,158,104.4,259,104.3,105,+3.14,102
139,N/A,Toledo,MAC,20,12,+2.69,112.8,72,110.1,255,69.3,76,+.004,167,-1.34,205,105.3,220,106.6,200,+5.15,68
140,N/A,Chattanooga,SC,21,12,+2.49,110.4,95,107.9,212,66.9,216,+.027,109,-2.02,221,105.2,230,107.2,230,-4.30,307
141,N/A,Furman,SC,17,16,+2.35,109.9,104,107.6,208,68.7,98,-.068,327,+0.87,141,107.4,126,106.5,189,+2.26,128
142,N/A,Sam Houston St.,CUSA,21,12,+2.30,106.0,179,103.7,127,67.4,168,+.066,42,-0.07,166,104.3,269,104.3,107,+2.92,111
143,N/A,Ohio,MAC,20,13,+2.30,109.1,122,106.8,185,67.3,180,-.096,352,-4.29,289,104.0,281,108.3,293,-2.54,268
144,N/A,West Virginia,B12,9,23,+2.29,108.4,139,106.1,177,68.4,114,-.009,211,+12.35,11,112.0,32,99.6,4,+2.89,114
145,14,Colgate,Pat,25,9,+2.15,104.7,211,102.5,104,66.2,253,+.057,55,-6.97,340,101.9,330,108.9,328,+6.56,41
146,N/A,St. Thomas,Sum,20,13,+1.86,107.7,148,105.8,169,62.9,353,-.087,348,-4.74,301,104.7,252,109.4,353,-3.71,290
147,N/A,Towson,CAA,20,14,+1.83,103.5,226,101.7,94,62.2,357,+.012,154,-1.01,196,106.5,159,107.5,253,+1.73,143
148,N/A,UNC Greensboro,SC,21,11,+1.71,109.2,118,107.5,204,64.7,321,+.070,33,-0.63,186,106.2,180,106.8,207,-0.32,209
149,N/A,Eastern Washington,BSky,21,11,+1.68,112.1,78,110.4,260,70.4,44,+.072,32,-1.22,203,106.1,181,107.3,240,+9.00,19
150,N/A,Missouri,SEC,8,24,+1.68,108.4,137,106.8,184,66.6,238,-.137,362,+9.92,45,112.4,22,102.4,74,-1.46,244
151,N/A,Missouri St.,MVC,17,16,+1.66,104.5,212,102.9,111,67.7,157,+.022,121,+2.53,121,107.3,132,104.8,121,-3.14,281
152,N/A,Louisiana,SB,19,14,+1.52,105.9,181,104.4,138,68.7,99,-.017,230,-0.52,181,106.5,157,107.1,221,+1.98,135
153,N/A,UMass Lowell,AE,22,10,+1.43,106.2,174,104.8,148,70.0,52,-.004,197,-4.03,284,102.2,321,106.2,175,-2.95,276
154,N/A,Weber St.,BSky,20,12,+1.35,108.8,130,107.4,203,65.5,286,-.014,225,-2.22,230,105.2,227,107.5,249,+4.34,80
155,N/A,Wichita St.,Amer,15,19,+1.21,104.7,209,103.5,121,67.9,145,-.037,281,+3.72,101,108.9,95,105.2,134,+1.75,142
156,N/A,Wyoming,MWC,15,17,+1.00,108.7,133,107.7,209,67.1,199,+.038,91,+6.73,86,110.5,73,103.8,91,+2.65,118
157,16,Longwood,BSth,21,13,+0.96,105.7,188,104.8,146,66.8,227,-.047,295,-4.01,283,104.5,257,108.5,309,-6.74,344
158,N/A,Montana,BSky,23,11,+0.95,111.7,82,110.7,267,66.2,252,+.075,29,-3.30,265,104.8,247,108.1,286,+2.02,134
159,N/A,Oregon St.,P12,13,19,+0.84,106.9,167,106.1,174,65.1,308,+.044,81,+9.20,63,110.6,71,101.4,38,+0.70,174
160,N/A,Purdue Fort Wayne,Horz,21,12,+0.82,105.2,200,104.4,137,70.5,39,-.059,313,-6.23,329,104.0,284,110.2,362,-9.02,358
161,N/A,Wright St.,Horz,18,14,+0.76,115.9,33,115.2,348,71.4,21,-.058,312,-2.48,239,105.1,239,107.6,256,+4.25,83
162,N/A,Murray St.,MVC,12,20,+0.65,107.5,150,106.8,188,64.3,333,-.113,359,+3.26,106,107.4,125,104.1,100,+0.26,193
163,15,Long Beach St.,BW,21,14,-0.00,107.9,145,107.9,210,71.2,29,+.047,71,-0.56,182,104.9,245,105.5,144,+1.51,150
164,N/A,UNC Asheville,BSth,22,12,-0.07,107.5,151,107.5,207,68.1,136,+.083,20,-1.03,197,106.4,168,107.4,244,+3.54,93
165,N/A,Lipscomb,ASun,20,12,-0.18,112.0,79,112.2,307,69.0,90,+.010,157,-3.63,274,105.4,213,109.1,338,+2.35,123
166,N/A,Fairfield,MAAC,22,12,-0.28,108.8,129,109.1,238,68.3,125,+.015,149,-5.19,311,101.7,333,106.9,213,-2.44,266
167,N/A,Hawaii,BW,20,14,-0.34,104.9,206,105.2,155,66.1,262,-.008,205,-2.86,248,104.0,283,106.8,210,-5.18,318
168,N/A,Quinnipiac,MAAC,24,9,-0.36,106.0,180,106.3,178,71.3,25,+.079,23,-6.73,337,101.1,343,107.8,268,-7.01,348
169,N/A,Delaware,CAA,19,14,-0.57,105.0,203,105.6,160,67.4,178,-.014,223,-2.87,249,105.2,233,108.0,282,-0.50,214
170,N/A,Utah Valley,WAC,16,16,-0.58,99.9,290,100.5,66,67.6,161,+.000,180,+1.51,133,106.3,174,104.8,118,+7.21,33
171,N/A,Stony Brook,CAA,20,15,-0.59,106.4,172,107.0,195,67.4,169,+.054,60,-1.16,201,105.4,216,106.6,192,+1.24,156
172,N/A,Kent St.,MAC,17,17,-0.67,106.1,177,106.8,186,66.5,244,-.083,343,-1.85,218,105.2,231,107.0,220,+3.70,92
173,N/A,Bryant,AE,20,13,-0.78,101.1,269,101.9,96,74.1,3,+.066,40,-1.35,206,104.3,263,105.7,154,+3.91,89
174,N/A,UC Davis,BW,20,13,-0.80,102.3,250,103.2,113,67.1,201,+.035,101,-2.21,227,105.2,224,107.5,248,-3.75,292
175,N/A,East Tennessee St.,SC,19,16,-1.01,103.4,228,104.4,139,67.0,212,+.028,107,+0.01,163,106.3,169,106.3,181,+1.12,162
176,N/A,Winthrop,BSth,17,15,-1.09,106.9,165,108.0,214,66.9,217,-.057,309,-1.71,214,106.0,186,107.7,262,+1.12,161
177,N/A,Stephen F. Austin,WAC,18,15,-1.10,101.7,257,102.8,110,69.2,81,+.008,162,-0.61,184,105.0,242,105.6,152,-0.79,224
178,N/A,Texas A&M Corpus Chris,Slnd,21,11,-1.17,100.9,271,102.1,98,68.8,97,+.001,178,-7.30,345,102.0,329,109.3,346,+1.67,144
179,N/A,UTEP,CUSA,18,16,-1.19,98.4,308,99.6,53,69.7,62,-.009,209,-0.48,179,105.2,234,105.6,153,-0.82,226
180,N/A,Illinois St.,MVC,15,17,-1.79,102.6,244,104.4,140,63.6,343,+.021,127,+1.32,134,107.5,123,106.1,170,-3.88,296
181,N/A,Texas St.,SB,17,18,-1.80,100.6,276,102.4,102,66.3,250,+.037,95,+1.62,130,107.2,135,105.6,149,+7.36,31
182,N/A,Temple,Amer,16,20,-2.17,102.6,245,104.7,143,66.8,226,+.033,102,+2.41,123,108.3,103,105.9,162,-1.55,248
183,N/A,Tulsa,Amer,16,15,-2.20,103.0,238,105.2,156,70.4,42,+.001,175,-0.94,194,105.9,188,106.8,212,-10.22,360
184,N/A,Little Rock,OVC,21,12,-2.20,107.0,164,109.2,239,68.6,101,-.004,195,-8.89,356,100.7,348,109.6,355,-6.08,339
